,,,
Риски,ФАКТОРЫ,МЕРА,"ДУАЛЬНЫЕ (ЕСЛИ РИСК-ФАКТОР ЕСТЬ, ТО ЗНАЧИТ, ЧТО МЕРЫ ИЗ ЯЧЕЙКИ НЕТ И НАОБОРОТ)"
IPI,UFR-030,UMF-018,UMF-031
IPI,UFR-031,UMF-018,
IPI,UFR-030,UMF-005,UMF-031
IPI,UFR-031,UMF-005,
IPI,UFR-029,UMF-055,UMF-034
IPI,UFR-029,UMF-063,UMF-034
IPI,UFR-029,UMF-034,UMF-034
IPI,UFR-033,UMF-060,
IPI,UFR-033,,
IPI,UFR-033,UMF-006,
IPI,UFR-033,UMF-004,
IPI,UFR-033,UMF-018,
IPI,UFR-033,UMF-005,
IPI,UFR-006,UMF-060,
IPI,UFR-049,UMF-060,
IPI,UFR-006,UMF-041,
IPI,UFR-049,UMF-041,
IPI,UFR-006,UMF-017,
IPI,UFR-049,UMF-017,
IPI,UFR-049,UMF-006,
IPI,UFR-049,UMF-018,
IPI,UFR-048,UMF-017,UMF-017
IPI,UFR-010,UMF-069,UMF-005
IPI,UFR-010,UMF-002,UMF-005
IPI,UFR-010,UMF-004,UMF-005
IPI,UFR-010,UMF-018,UMF-005
IPI,UFR-010,UMF-005,UMF-005
IPI,UFR-071,UMF-013,UMF-012
IPI,UFR-071,UMF-012,UMF-012
IPI,UFR-047,UMF-021,UMF-017
IPI,UFR-047,UMF-013,UMF-017
IPI,UFR-047,UMF-017,UMF-017
IPI,UFR-058,UMF-021,UMF-021
IPI,UFR-058,UMF-013,UMF-021
IPI,UFR-012,UMF-069,UMF-103
IPI,UFR-012,UMF-006,UMF-103
IPI,UFR-013,UMF-069,UMF-007
IPI,UFR-013,UMF-006,UMF-007
IPI,UFR-088,UMF-055,UMF-055
IPI,UFR-088,UMF-098,UMF-055
HALL,UFR-023,,
HALL,UFR-024,,
HALL,UFR-024,UMF-011,
HALL,UFR-024,UMF-028,
HALL,UFR-025,,
HALL,UFR-025,UMF-030,
HALL,UFR-025,UMF-060,
HALL,UFR-026,UMF-076,
HALL,UFR-026,UMF-069,
HALL,UFR-026,,
HALL,UFR-028,UMF-031,UMF-031
HALL,UFR-028,UMF-007,UMF-031
HALL,UFR-028,UMF-037,UMF-031
HALL,UFR-028,UMF-036,UMF-031
HALL,UFR-028,UMF-062,UMF-031
HALL,UFR-028,UMF-076,UMF-031
HALL,UFR-028,UMF-069,UMF-031
HALL,UFR-030,UMF-031,UMF-031
HALL,UFR-034,UMF-031,UMF-032
HALL,UFR-034,UMF-032,UMF-032
HALL,UFR-030,UMF-062,UMF-031
HALL,UFR-034,UMF-062,UMF-032
HALL,UFR-030,UMF-076,UMF-031
HALL,UFR-034,UMF-076,UMF-032
HALL,UFR-013,UMF-007,UMF-007
HALL,UFR-013,UMF-031,UMF-007
HALL,UFR-013,UMF-037,UMF-007
HALL,UFR-013,UMF-069,UMF-007
HALL,UFR-020,UMF-031,
HALL,UFR-022,UMF-031,UMF-090
HALL,UFR-020,,
HALL,UFR-022,UMF-090,UMF-090
HALL,UFR-020,UMF-037,
HALL,UFR-022,UMF-037,UMF-090
HALL,UFR-039,UMF-033,UMF-033
HALL,UFR-039,UMF-062,UMF-033
HALL,UFR-039,UMF-076,UMF-033
HALL,UFR-070,UMF-011,UMF-011
HALL,UFR-072,UMF-011,UMF-011
HALL,UFR-070,UMF-036,UMF-011
HALL,UFR-072,UMF-036,UMF-011
HALL,UFR-070,UMF-022,UMF-011
HALL,UFR-072,UMF-022,UMF-011
HALL,UFR-070,UMF-067,UMF-011
HALL,UFR-072,UMF-067,UMF-011
HALL,UFR-035,UMF-031,UMF-031
HALL,UFR-035,UMF-036,UMF-031
HALL,UFR-079,UMF-036,UMF-036
HALL,UFR-070,UMF-062,UMF-011
HALL,UFR-079,UMF-062,UMF-036
HALL,UFR-079,UMF-067,UMF-036
HALL,UFR-070,UMF-076,UMF-011
HALL,UFR-079,UMF-076,UMF-036
